# n,num. ele.,NGS,ele. ord.,L2-norm,grad1(0.5;0.5;1)
2.000000000000000000e+00,4.800000000000000000e+01,1.600000000000000000e+01,1.000000000000000000e+00,1.546033119715947979e-01,1.271442593563775203e+00,8.936142921447753906e-02
4.000000000000000000e+00,3.840000000000000000e+02,8.000000000000000000e+00,1.000000000000000000e+00,8.743643408487092317e-02,1.803419689351424937e+00,5.653834342956542969e-02
8.000000000000000000e+00,3.072000000000000000e+03,4.000000000000000000e+00,1.000000000000000000e+00,2.870185376505741265e-02,1.866767880620655129e+00,2.273921966552734375e-01
1.600000000000000000e+01,2.457600000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+00,7.764487489080018276e-03,1.927151948338410747e+00,1.564315795898437500e+00
3.200000000000000000e+01,1.966080000000000000e+05,1.000000000000000000e+00,1.000000000000000000e+00,1.981924649699826416e-03,1.964785135662026505e+00,1.296168732643127441e+01
2.000000000000000000e+00,4.800000000000000000e+01,1.600000000000000000e+01,2.000000000000000000e+00,6.257980442847393965e-02,1.836721675300599488e+00,4.052042961120605469e-02
4.000000000000000000e+00,3.840000000000000000e+02,8.000000000000000000e+00,2.000000000000000000e+00,1.407609466423420316e-02,2.006778446736421806e+00,1.478638648986816406e-01
8.000000000000000000e+00,3.072000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,2.662164063977127699e-03,2.008143476912847447e+00,1.734345197677612305e+00
1.600000000000000000e+01,2.457600000000000000e+04,2.000000000000000000e+00,2.000000000000000000e+00,5.956939667780573530e-04,1.999474465785009869e+00,1.984641814231872559e+01
3.200000000000000000e+01,1.966080000000000000e+05,1.000000000000000000e+00,2.000000000000000000e+00,1.759393763223684873e-04,1.996007891739191464e+00,2.309754142761230469e+02
