# n,num. ele.,NGS,ele. ord.,L2-norm,grad1,t_solve
8.000000000000000000e+00,3.072000000000000000e+03,4.000000000000000000e+00,1.000000000000000000e+00,2.867652081607663384e-02,1.864835912343586033e+00,3.891649246215820312e-01
1.600000000000000000e+01,2.457600000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+00,7.754313392754867348e-03,1.926814186620083191e+00,3.037700653076171875e+00
3.200000000000000000e+01,1.966080000000000000e+05,1.000000000000000000e+00,1.000000000000000000e+00,1.979015745032278693e-03,1.964695400487135757e+00,2.469345760345458984e+01
