-8.750008161646120192e-03,-1.042707378837396678e-04,-3.880645276370156549e-02,-2.362996180531966566e-03,-5.404730257114588685e-04,-9.443047023439959595e-03,-6.040631783094715240e-04,-1.732837554067492934e-04,-2.348578735050676179e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.198688923463846173e-03,7.398380155673158799e-03,-3.949328333824386750e-02,-2.062712019789253101e-03,3.832728014803549535e-03,-9.764623314518085240e-03,-4.496575617090359006e-04,2.170081416261500449e-03,-2.505859542155523204e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.647369685281571287e-03,1.490103104923006828e-02,-4.018011391278616951e-02,-1.762427859046539853e-03,8.205929055318559456e-03,-1.008619960559621435e-02,-2.952519451086004399e-04,4.513446587929749107e-03,-2.663140349260369362e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.096050447099299004e-03,2.240368194278696823e-02,-4.086694448732848539e-02,-1.462143698303826171e-03,1.257913009583356417e-02,-1.040777589667434000e-02,-1.408463285081647893e-04,6.856811759597998199e-03,-2.820421156365215953e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.544731208917024985e-03,2.990633283634387685e-02,-4.155377506187079434e-02,-1.161859537561113357e-03,1.695233113634857236e-02,-1.072935218775246738e-02,1.355928809227086116e-05,9.200176931266249025e-03,-2.977701963470062111e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.993411970734750967e-03,3.740898372990077159e-02,-4.224060563641310329e-02,-8.615753768183994580e-04,2.132553217686358055e-02,-1.105092847883059476e-02,1.679649046927064575e-04,1.154354210293449985e-02,-3.134982770574909136e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.442092732552476081e-03,4.491163462345767327e-02,-4.292743621095539835e-02,-5.612912160756864267e-04,2.569873321737858873e-02,-1.137250476990872214e-02,3.223705212931420538e-04,1.388690727460274894e-02,-3.292263577679755294e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.890773494370202062e-03,5.241428551701458188e-02,-4.361426678549770730e-02,-2.610070553329726364e-04,3.007193425789359692e-02,-1.169408106098684952e-02,7.091306499119440134e-04,1.929985942739556939e-02,-3.685943429551128726e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.339454256187928044e-03,5.991693641057147662e-02,-4.430109736004000931e-02,3.927710540974061176e-05,3.444513529840860511e-02,-1.201565735206497343e-02,1.173342282536867344e-03,2.573600724056323424e-02,-4.158422963011342705e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.788135018005654026e-03,6.741958730412837830e-02,-4.498792793458231132e-02,3.395612661524540768e-04,3.881833633892361329e-02,-1.233723364314310081e-02,1.637553915161790458e-03,3.217215505373090256e-02,-4.630902496471556683e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
