# n,num. ele.,NGS,ele. ord.,L2-norm,grad1(0.5;0.5;1),t_solve [s]
8.000000000000000000e+00,3.072000000000000000e+03,4.000000000000000000e+00,1.000000000000000000e+00,2.457925523474414203e-02,1.858326651764084625e+00,4.327827453613281250e+00
1.600000000000000000e+01,2.457600000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+00,6.533151089248058659e-03,1.924637953733475015e+00,2.774790048599243164e+00
3.200000000000000000e+01,1.966080000000000000e+05,1.000000000000000000e+00,1.000000000000000000e+00,1.663211851134515241e-03,1.964128171498911613e+00,2.174576473236083984e+01
