1.783514032480702505e-01,1.672149947813904858e-01,-2.605571458048481781e-01,-1.374947061234107863e-02,2.760290671372156793e-02,-1.647569100296993605e-01,-8.005390372851443545e-03,8.172292708346017530e-04,-3.806273569762973902e-02,-2.232071702229994174e-03,-3.742368709888001937e-04,-9.311979791612301494e-03,-5.714604837830865964e-04,-1.334550965479793709e-04,-2.314920710933582662e-03,-6.771647187377841104e-02,-5.264404117691656032e-02,-4.333765010563864206e-02,-3.419110805150506194e-02,-3.057895447067894221e-02,1.727720685716140764e-02,-1.136408997563900097e-02,-3.651381116584427860e-03,9.475274833263368571e-03,-3.078170954717639012e-03,-3.526400867786857844e-04,2.936104381313634024e-03,-7.853972176152985724e-04,-3.456807793944035462e-05,7.760931520212098001e-04
1.801948375573410588e-01,1.738034823272983642e-01,-2.625402545025671830e-01,-1.278510233181627889e-02,3.788399265903028001e-02,-1.662004663101884772e-01,-7.454363068589351521e-03,8.319434625754684731e-03,-3.874986151513037935e-02,-1.931814372111714719e-03,3.998911302539144737e-03,-9.633584762440602564e-03,-4.170584746305847166e-04,2.209904316669856518e-03,-2.472207660433827121e-03,-6.686158622658507078e-02,-3.948887833772175143e-02,-4.446669193875889964e-02,-3.402118091840848624e-02,-2.475014679912621030e-02,1.705390750272806413e-02,-1.131716637684209228e-02,-1.882158772019005459e-03,9.423731166024925873e-03,-3.050245933177764702e-03,3.386217702236017451e-04,2.907889392735108630e-03,-7.600377735859669597e-04,4.160493767594739207e-04,7.507168779632897564e-04
1.820382718666118949e-01,1.803919698732062149e-01,-2.645233632002861879e-01,-1.182073405129148089e-02,4.816507860433894006e-02,-1.676440225906775661e-01,-6.903335764327259497e-03,1.582163998067478636e-02,-3.943698733263102663e-02,-1.631557041993434614e-03,8.372059476067089667e-03,-9.955189733268900165e-03,-2.626564654780832162e-04,4.553263729887691187e-03,-2.629494609934073315e-03,-6.596941257881593079e-02,-2.634523751193489777e-02,-4.563138657043074031e-02,-3.380631126448884610e-02,-1.866458826293437845e-02,1.678461051497904741e-02,-1.122152074917550334e-02,3.872482683403412969e-04,9.323317115683961778e-03,-2.972631170989972500e-03,1.677138348108807731e-03,2.829972789334877885e-03,-6.847549088579783349e-04,1.590270891339934769e-03,6.754164195142632523e-04
1.838817061758827032e-01,1.869804574191141211e-01,-2.665064718980051928e-01,-1.085636577076668288e-02,5.844616454964765562e-02,-1.690875788711666827e-01,-6.352308460065165738e-03,2.332384533559487411e-02,-4.012411315013166002e-02,-1.331299711875155159e-03,1.274520764959503200e-02,-1.027679470409720124e-02,-1.082544563255815803e-04,6.896623143105526724e-03,-2.786781559434318642e-03,-6.503995093047100495e-02,-1.321311869955609473e-02,-4.683173400065413633e-02,-3.354649908974612071e-02,-1.232227886210335993e-02,1.646931589391436093e-02,-1.107715309263923240e-02,3.156840004493592297e-03,9.174032682240486694e-03,-2.845326668154262838e-03,3.662909646876928542e-03,2.702354571112941355e-03,-5.595486234313331317e-04,3.488096465801942148e-03,5.501917766741303960e-04
1.857251404851535115e-01,1.935689449650219718e-01,-2.684895805957241421e-01,-9.891997490241877938e-03,6.872725049495635730e-02,-1.705311351516557439e-01,-5.801281155803073714e-03,3.082605069051497226e-02,-4.081123896763230730e-02,-1.031042381756875487e-03,1.711835582312297779e-02,-1.059839967492550231e-02,4.614755282692016396e-05,9.239982556323363128e-03,-2.944068508934563969e-03,-6.407320128155027938e-02,-9.252190058529744833e-05,-4.806773422942907381e-02,-3.324174439418031701e-02,-5.723218596633210253e-03,1.610802363953397695e-02,-1.088406340723327946e-02,6.426616436440744234e-03,8.975877865694493682e-03,-2.668332424670636586e-03,6.295935666527967267e-03,2.525034738069299907e-03,-3.844189173060314044e-04,6.109526100145494867e-03,3.750429494428914588e-04
1.875685747944243198e-01,2.001574325109298225e-01,-2.704726892934431470e-01,-8.927629209717083403e-03,7.900833644026503122e-02,-1.719746914321448883e-01,-5.250253851540980822e-03,3.832825604543506348e-02,-4.149836478513294763e-02,-7.307850516385958149e-04,2.149150399665092012e-02,-1.092000464575380164e-02,2.005495619794219354e-04,1.158334196954119953e-02,-3.101355458434809295e-03,-6.306916363205375409e-02,1.301655288497747739e-02,-4.933938725675562215e-02,-3.289204717779145581e-02,1.132592533476116554e-03,1.570073375183793710e-02,-1.064225169295765321e-02,1.019657756418180898e-02,8.728852666045989681e-03,-2.441648440539093308e-03,9.576216407061920871e-03,2.298013290203953542e-03,-1.593657904820728005e-04,9.454559794370594877e-03,1.499699378205459255e-04
1.894120091036951836e-01,2.067459200568377564e-01,-2.724557979911621519e-01,-7.963260929192280194e-03,8.928942238557374678e-02,-1.734182477126339494e-01,-4.699226547278889665e-03,4.583046140035514776e-02,-4.218549060263359490e-02,-4.305277215203163598e-04,2.586465217017886245e-02,-1.124160961658210098e-02,3.549515711319234899e-04,1.392670138275903420e-02,-3.258642407935055055e-03,-6.202783798198140131e-02,2.611410565713249282e-02,-5.064669308263376746e-02,-3.249740744057949549e-02,8.245154528224581461e-03,1.524744623082620668e-02,-1.035171794981234669e-02,1.446672338771677786e-02,8.432957083294972955e-03,-2.165274715759633005e-03,1.350375186847879196e-02,2.021290227516901825e-03,1.156107570405424630e-04,1.352319754847723654e-02,-1.250272581929057702e-04
1.912554434129660197e-01,2.133344076027456349e-01,-2.744389066888811568e-01,-6.998892648667482189e-03,9.957050833088244846e-02,-1.748618039931230939e-01,-4.148199243016795906e-03,5.333266675527524592e-02,-4.287261642013423524e-02,-1.302703914020365795e-04,3.023780034370681172e-02,-1.156321458741040205e-02,7.417045496926611119e-04,1.933964370311356748e-02,-3.652333224944208021e-03,-6.094922433133326961e-02,3.920013641587933445e-02,-5.198965170706344729e-02,-3.205782518254447766e-02,1.561446738761222523e-02,1.474816107649880824e-02,-1.001246217779735471e-02,1.923705390704567864e-02,8.088191117441434833e-03,-1.839211250332255026e-03,1.807854205077858226e-02,1.694865550008145191e-03,4.411127449183050060e-04,1.828076539679301948e-02,-4.505544485674886374e-04
1.930988777222368280e-01,2.199228951486535411e-01,-2.764220153866001617e-01,-6.034524368142681582e-03,1.098515942761911501e-01,-1.763053602736122105e-01,-3.597171938754704749e-03,6.083487211019533020e-02,-4.355974223763488251e-02,1.699869387162432008e-04,3.461094851723476445e-02,-1.188481955823870312e-02,1.205907851389476917e-03,2.577578032584700030e-02,-4.124825331122997443e-03,-5.983332268010933819e-02,5.227464516121824167e-02,-5.336826313004474492e-02,-3.157330040368637458e-02,2.324053111163899843e-02,1.420287828885572964e-02,-9.624484376912692887e-03,2.450756912216848007e-02,7.694554768485390057e-03,-1.463458044256960673e-03,2.330058695396128657e-02,1.318739257677683640e-03,8.167385153803942985e-04,2.362848801743052188e-02,-8.262075357193405514e-04
1.949423120315076363e-01,2.265113826945613917e-01,-2.784051240843191666e-01,-5.070156087617883577e-03,1.201326802214998241e-01,-1.777489165541012994e-01,-3.046144634492612292e-03,6.833707746511541448e-02,-4.424686805513551591e-02,4.702442688345225474e-04,3.898409669076269290e-02,-1.220642452906700245e-02,1.670111153086292722e-03,3.221191694858042964e-02,-4.597317437301786866e-03,-5.868013302830958622e-02,6.533763189314928388e-02,-5.478252735157757708e-02,-3.104383310400518625e-02,3.112334570030492187e-02,1.361159786789696916e-02,-9.187784547158343862e-03,3.027826903308518738e-02,7.252048036426825620e-03,-1.038015097533751246e-03,2.916988657802691357e-02,8.929113505255184720e-04,1.242287350731815891e-03,2.956051035623257633e-02,-1.251784550953143060e-03
