0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.500000000000000120e-05,3.960100000000000252e-04,-2.500000000000000120e-05
1.000000000000000048e-04,1.568160000000000083e-03,-1.000000000000000048e-04
2.249999999999999938e-04,3.492809999999999838e-03,-2.249999999999999938e-04
4.000000000000000192e-04,6.146560000000000565e-03,-4.000000000000000192e-04
6.250000000000001214e-04,9.506250000000000810e-03,-6.250000000000001214e-04
8.999999999999999754e-04,1.354895999999999878e-02,-8.999999999999999754e-04
1.225000000000000177e-03,1.825201000000000254e-02,-1.225000000000000177e-03
1.600000000000000077e-03,2.359295999999999963e-02,-1.600000000000000077e-03
2.024999999999999890e-03,2.954961000000000046e-02,-2.024999999999999890e-03
2.500000000000000486e-03,3.610000000000000708e-02,-2.500000000000000486e-03
3.024999999999999911e-03,4.322240999999999583e-02,-3.024999999999999911e-03
3.599999999999999901e-03,5.089535999999999366e-02,-3.599999999999999901e-03
4.225000000000000457e-03,5.909761000000000181e-02,-4.225000000000000457e-03
4.900000000000000709e-03,6.780816000000000621e-02,-4.900000000000000709e-03
5.624999999999999792e-03,7.700624999999999831e-02,-5.624999999999999792e-03
6.400000000000000307e-03,8.667136000000000284e-02,-6.400000000000000307e-03
7.225000000000001386e-03,9.678321000000002228e-02,-7.225000000000001386e-03
8.099999999999999561e-03,1.073217599999999883e-01,-8.099999999999999561e-03
9.025000000000000036e-03,1.182672099999999976e-01,-9.025000000000000036e-03
1.000000000000000194e-02,1.296000000000000207e-01,-1.000000000000000194e-02
1.102499999999999834e-02,1.413008099999999712e-01,-1.102499999999999834e-02
1.209999999999999964e-02,1.533505599999999969e-01,-1.209999999999999964e-02
1.322500000000000064e-02,1.657304100000000224e-01,-1.322500000000000064e-02
1.439999999999999961e-02,1.784217600000000126e-01,-1.439999999999999961e-02
1.562500000000000000e-02,1.914062500000000000e-01,-1.562500000000000000e-02
1.690000000000000183e-02,2.046657600000000299e-01,-1.690000000000000183e-02
1.822500000000000162e-02,2.181824099999999933e-01,-1.822500000000000162e-02
1.960000000000000284e-02,2.319385600000000158e-01,-1.960000000000000284e-02
2.102499999999999855e-02,2.459168099999999857e-01,-2.102499999999999855e-02
2.249999999999999917e-02,2.600999999999999979e-01,-2.249999999999999917e-02
2.402500000000000122e-02,2.744712100000000210e-01,-2.402500000000000122e-02
2.560000000000000123e-02,2.890137600000000084e-01,-2.560000000000000123e-02
2.722500000000000267e-02,3.037112100000000092e-01,-2.722500000000000267e-02
2.890000000000000555e-02,3.185473600000000571e-01,-2.890000000000000555e-02
3.062500000000000638e-02,3.335062500000000596e-01,-3.062500000000000638e-02
3.239999999999999825e-02,3.485721599999999643e-01,-3.239999999999999825e-02
3.422499999999999848e-02,3.637296099999999810e-01,-3.422499999999999848e-02
3.610000000000000014e-02,3.789633599999999714e-01,-3.610000000000000014e-02
3.802500000000000324e-02,3.942584100000000036e-01,-3.802500000000000324e-02
4.000000000000000777e-02,4.096000000000000751e-01,-4.000000000000000777e-02
